_raw,_time,eventtype,host,humidity,index,linecount,punct,source,sourcetype,splunk_server,splunk_server_group
"{""humidity"": 71.10}",2025-01-24T15:24:21.000-0500,,127.0.0.1:8088,71.1,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 71.10}",2025-01-24T15:24:20.000-0500,,127.0.0.1:8088,71.1,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 67.90}",2025-01-24T15:24:18.000-0500,,127.0.0.1:8088,67.9,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 67.90}",2025-01-24T15:24:17.000-0500,,127.0.0.1:8088,67.9,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 62.70}",2025-01-24T15:24:15.000-0500,,127.0.0.1:8088,62.7,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 62.70}",2025-01-24T15:24:14.000-0500,,127.0.0.1:8088,62.7,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 56.80}",2025-01-24T15:24:12.000-0500,,127.0.0.1:8088,56.8,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 56.80}",2025-01-24T15:24:11.000-0500,,127.0.0.1:8088,56.8,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 50.00}",2025-01-24T15:24:09.000-0500,,127.0.0.1:8088,50,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 50.00}",2025-01-24T15:24:08.000-0500,,127.0.0.1:8088,50,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 42.40}",2025-01-24T15:24:06.000-0500,,127.0.0.1:8088,42.4,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 42.40}",2025-01-24T15:24:05.000-0500,,127.0.0.1:8088,42.4,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 31.20}",2025-01-24T15:24:03.000-0500,,127.0.0.1:8088,31.2,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 31.20}",2025-01-24T15:24:02.000-0500,,127.0.0.1:8088,31.2,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 20.00}",2025-01-24T15:24:00.000-0500,,127.0.0.1:8088,20,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 20.00}",2025-01-24T15:23:59.000-0500,,127.0.0.1:8088,20,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:57.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:56.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:54.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:53.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
"{""humidity"": 0.00}",2025-01-24T15:23:52.000-0500,,127.0.0.1:8088,0,main,1,"{"""":_.}",http:Arduino Data Humidity,test_hec_logs,JL76,
